0: covered =  97 ;    is_min_covered =    0 ;    min_val =     0 ;    max_val =  1536 ;    mean_val =   1390.85 ;    std_val =273.79
35: covered = 100 ;    is_min_covered =    1 ;    min_val =  1112 ;    max_val =  1172 ;    mean_val =   1131.04 ;    std_val = 11.69
36: covered = 100 ;    is_min_covered =    1 ;    min_val =  1109 ;    max_val =  1172 ;    mean_val =   1132.18 ;    std_val = 13.70
37: covered = 100 ;    is_min_covered =    1 ;    min_val =  1109 ;    max_val =  1172 ;    mean_val =   1127.06 ;    std_val = 13.07
38: covered = 100 ;    is_min_covered =    1 ;    min_val =  1108 ;    max_val =  1172 ;    mean_val =   1125.16 ;    std_val = 11.65
39: covered = 100 ;    is_min_covered =    1 ;    min_val =  1107 ;    max_val =  1153 ;    mean_val =   1122.57 ;    std_val =  9.76
40: covered = 100 ;    is_min_covered =    1 ;    min_val =  1096 ;    max_val =  1153 ;    mean_val =   1120.68 ;    std_val =  9.26
41: covered = 100 ;    is_min_covered =    1 ;    min_val =  1096 ;    max_val =  1139 ;    mean_val =   1117.72 ;    std_val =  8.33
42: covered = 100 ;    is_min_covered =    1 ;    min_val =  1100 ;    max_val =  1142 ;    mean_val =   1115.70 ;    std_val =  8.93
43: covered = 100 ;    is_min_covered =    1 ;    min_val =  1095 ;    max_val =  1142 ;    mean_val =   1113.39 ;    std_val =  9.24
44: covered = 100 ;    is_min_covered =    1 ;    min_val =  1091 ;    max_val =  1142 ;    mean_val =   1110.69 ;    std_val =  9.11
45: covered = 100 ;    is_min_covered =    1 ;    min_val =  1090 ;    max_val =  1142 ;    mean_val =   1108.94 ;    std_val = 11.33
46: covered = 100 ;    is_min_covered =    1 ;    min_val =  1079 ;    max_val =  1142 ;    mean_val =   1107.77 ;    std_val = 13.14
47: covered = 100 ;    is_min_covered =    1 ;    min_val =  1079 ;    max_val =  1146 ;    mean_val =   1106.00 ;    std_val = 12.58
48: covered = 100 ;    is_min_covered =    1 ;    min_val =  1083 ;    max_val =  1143 ;    mean_val =   1104.93 ;    std_val = 12.33
49: covered = 100 ;    is_min_covered =    1 ;    min_val =  1079 ;    max_val =  1142 ;    mean_val =   1100.93 ;    std_val = 12.85
50: covered = 100 ;    is_min_covered =    1 ;    min_val =  1074 ;    max_val =  1142 ;    mean_val =   1098.69 ;    std_val = 12.05
51: covered = 100 ;    is_min_covered =    1 ;    min_val =  1071 ;    max_val =  1142 ;    mean_val =   1094.99 ;    std_val = 10.68
52: covered = 100 ;    is_min_covered =    1 ;    min_val =  1078 ;    max_val =  1142 ;    mean_val =   1094.19 ;    std_val = 10.84
53: covered = 100 ;    is_min_covered =    1 ;    min_val =  1075 ;    max_val =  1124 ;    mean_val =   1092.90 ;    std_val = 11.82
54: covered = 100 ;    is_min_covered =    1 ;    min_val =  1075 ;    max_val =  1123 ;    mean_val =   1091.19 ;    std_val = 11.05
55: covered = 100 ;    is_min_covered =    1 ;    min_val =  1075 ;    max_val =  1123 ;    mean_val =   1088.56 ;    std_val =  9.31
56: covered = 100 ;    is_min_covered =    1 ;    min_val =  1075 ;    max_val =  1123 ;    mean_val =   1085.78 ;    std_val =  8.94
57: covered = 100 ;    is_min_covered =    1 ;    min_val =  1072 ;    max_val =  1123 ;    mean_val =   1086.92 ;    std_val =  8.73
58: covered = 100 ;    is_min_covered =    1 ;    min_val =  1070 ;    max_val =  1125 ;    mean_val =   1087.10 ;    std_val = 10.04
59: covered = 100 ;    is_min_covered =    1 ;    min_val =  1070 ;    max_val =  1123 ;    mean_val =   1087.53 ;    std_val = 11.21
60: covered = 100 ;    is_min_covered =    1 ;    min_val =  1070 ;    max_val =  1123 ;    mean_val =   1085.88 ;    std_val =  9.94
61: covered = 100 ;    is_min_covered =    1 ;    min_val =  1070 ;    max_val =  1123 ;    mean_val =   1084.16 ;    std_val =  8.56
62: covered = 100 ;    is_min_covered =    1 ;    min_val =  1070 ;    max_val =  1107 ;    mean_val =   1083.15 ;    std_val =  7.66
63: covered = 100 ;    is_min_covered =    1 ;    min_val =  1068 ;    max_val =  1107 ;    mean_val =   1081.96 ;    std_val =  7.44
64: covered = 100 ;    is_min_covered =    1 ;    min_val =  1068 ;    max_val =  1106 ;    mean_val =   1081.74 ;    std_val =  7.02
65: covered = 100 ;    is_min_covered =    1 ;    min_val =  1068 ;    max_val =  1106 ;    mean_val =   1081.85 ;    std_val =  7.78
66: covered = 100 ;    is_min_covered =    1 ;    min_val =  1068 ;    max_val =  1106 ;    mean_val =   1078.75 ;    std_val =  7.65
67: covered = 100 ;    is_min_covered =    1 ;    min_val =  1066 ;    max_val =  1101 ;    mean_val =   1076.70 ;    std_val =  6.52
68: covered = 100 ;    is_min_covered =    1 ;    min_val =  1068 ;    max_val =  1104 ;    mean_val =   1076.36 ;    std_val =  7.13
69: covered = 100 ;    is_min_covered =    1 ;    min_val =  1067 ;    max_val =  1101 ;    mean_val =   1076.01 ;    std_val =  7.11
70: covered = 100 ;    is_min_covered =    1 ;    min_val =  1065 ;    max_val =  1105 ;    mean_val =   1077.43 ;    std_val =  8.51
71: covered = 100 ;    is_min_covered =    1 ;    min_val =  1065 ;    max_val =  1105 ;    mean_val =   1076.35 ;    std_val =  7.71
72: covered = 100 ;    is_min_covered =    1 ;    min_val =  1065 ;    max_val =  1105 ;    mean_val =   1076.83 ;    std_val =  8.43
73: covered = 100 ;    is_min_covered =    1 ;    min_val =  1061 ;    max_val =  1105 ;    mean_val =   1075.55 ;    std_val =  9.14
74: covered = 100 ;    is_min_covered =    1 ;    min_val =  1065 ;    max_val =  1105 ;    mean_val =   1075.01 ;    std_val =  8.46
75: covered = 100 ;    is_min_covered =    1 ;    min_val =  1063 ;    max_val =  1105 ;    mean_val =   1074.77 ;    std_val =  8.69
76: covered = 100 ;    is_min_covered =    1 ;    min_val =  1064 ;    max_val =  1105 ;    mean_val =   1073.41 ;    std_val =  8.11
77: covered = 100 ;    is_min_covered =    1 ;    min_val =  1062 ;    max_val =  1105 ;    mean_val =   1074.13 ;    std_val =  8.89
78: covered = 100 ;    is_min_covered =    1 ;    min_val =  1062 ;    max_val =  1106 ;    mean_val =   1073.05 ;    std_val =  9.38
79: covered = 100 ;    is_min_covered =    1 ;    min_val =  1061 ;    max_val =  1106 ;    mean_val =   1072.40 ;    std_val =  9.88
80: covered = 100 ;    is_min_covered =    1 ;    min_val =  1063 ;    max_val =  1106 ;    mean_val =   1073.31 ;    std_val = 10.28
81: covered = 100 ;    is_min_covered =    1 ;    min_val =  1061 ;    max_val =  1118 ;    mean_val =   1072.97 ;    std_val = 11.51
82: covered = 100 ;    is_min_covered =    1 ;    min_val =  1063 ;    max_val =  1118 ;    mean_val =   1074.23 ;    std_val = 12.69
83: covered = 100 ;    is_min_covered =    1 ;    min_val =  1059 ;    max_val =  1117 ;    mean_val =   1073.20 ;    std_val = 12.65
84: covered = 100 ;    is_min_covered =    1 ;    min_val =  1057 ;    max_val =  1117 ;    mean_val =   1071.88 ;    std_val = 12.01
85: covered = 100 ;    is_min_covered =    1 ;    min_val =  1055 ;    max_val =  1110 ;    mean_val =   1070.45 ;    std_val = 10.28
86: covered = 100 ;    is_min_covered =    1 ;    min_val =  1055 ;    max_val =  1111 ;    mean_val =   1071.51 ;    std_val = 11.97
87: covered = 100 ;    is_min_covered =    1 ;    min_val =  1054 ;    max_val =  1111 ;    mean_val =   1070.75 ;    std_val = 11.87
88: covered = 100 ;    is_min_covered =    1 ;    min_val =  1054 ;    max_val =  1111 ;    mean_val =   1070.70 ;    std_val = 12.50
89: covered = 100 ;    is_min_covered =    1 ;    min_val =  1054 ;    max_val =  1113 ;    mean_val =   1068.91 ;    std_val = 13.32
90: covered = 100 ;    is_min_covered =    1 ;    min_val =  1049 ;    max_val =  1108 ;    mean_val =   1065.40 ;    std_val = 11.07
91: covered = 100 ;    is_min_covered =    1 ;    min_val =  1049 ;    max_val =  1106 ;    mean_val =   1064.30 ;    std_val =  9.96
92: covered = 100 ;    is_min_covered =    1 ;    min_val =  1047 ;    max_val =  1106 ;    mean_val =   1063.34 ;    std_val =  8.60
93: covered = 100 ;    is_min_covered =    1 ;    min_val =  1048 ;    max_val =  1106 ;    mean_val =   1063.77 ;    std_val = 10.69
94: covered = 100 ;    is_min_covered =    1 ;    min_val =  1046 ;    max_val =  1092 ;    mean_val =   1062.86 ;    std_val =  9.79
95: covered = 100 ;    is_min_covered =    1 ;    min_val =  1043 ;    max_val =  1092 ;    mean_val =   1063.52 ;    std_val = 10.62
96: covered = 100 ;    is_min_covered =    1 ;    min_val =  1046 ;    max_val =  1092 ;    mean_val =   1062.11 ;    std_val = 11.91
97: covered = 100 ;    is_min_covered =    1 ;    min_val =  1043 ;    max_val =  1098 ;    mean_val =   1059.57 ;    std_val = 13.07
98: covered = 100 ;    is_min_covered =    1 ;    min_val =  1044 ;    max_val =  1098 ;    mean_val =   1056.05 ;    std_val =  9.36
99: covered = 100 ;    is_min_covered =    1 ;    min_val =  1043 ;    max_val =  1098 ;    mean_val =   1056.02 ;    std_val =  9.78
100: covered = 100 ;    is_min_covered =    1 ;    min_val =  1041 ;    max_val =  1095 ;    mean_val =   1055.30 ;    std_val =  8.61
101: covered = 100 ;    is_min_covered =    1 ;    min_val =  1041 ;    max_val =  1092 ;    mean_val =   1054.90 ;    std_val =  7.88
102: covered = 100 ;    is_min_covered =    1 ;    min_val =  1044 ;    max_val =  1078 ;    mean_val =   1055.51 ;    std_val =  7.29
103: covered = 100 ;    is_min_covered =    1 ;    min_val =  1046 ;    max_val =  1082 ;    mean_val =   1055.43 ;    std_val =  7.04
104: covered = 100 ;    is_min_covered =    1 ;    min_val =  1046 ;    max_val =  1076 ;    mean_val =   1054.78 ;    std_val =  6.67
105: covered = 100 ;    is_min_covered =    1 ;    min_val =  1043 ;    max_val =  1073 ;    mean_val =   1053.63 ;    std_val =  6.20
106: covered = 100 ;    is_min_covered =    1 ;    min_val =  1039 ;    max_val =  1073 ;    mean_val =   1052.96 ;    std_val =  7.24
107: covered = 100 ;    is_min_covered =    1 ;    min_val =  1039 ;    max_val =  1074 ;    mean_val =   1051.52 ;    std_val =  7.53
108: covered = 100 ;    is_min_covered =    1 ;    min_val =  1039 ;    max_val =  1084 ;    mean_val =   1051.16 ;    std_val =  8.10
109: covered = 100 ;    is_min_covered =    1 ;    min_val =  1033 ;    max_val =  1084 ;    mean_val =   1051.80 ;    std_val =  8.74
